Transaction_ID,Date,Product_ID,Region_ID,Sales_Rep_ID,Customer_ID,Units_Sold,Unit_Price,Revenue,Calculated_Revenue
TXN00001,2024-01-05,P006,R01,SR001,C094,50,28.31,1415.5,1415.5
TXN00002,2025-03-18,P006,R05,SR029,C115,114,28.93,3298.02,3298.02
TXN00003,2024-03-24,P005,R03,SR003,C030,80,64.48,5158.4,5158.400000000001
TXN00004,2025-06-28,P006,R01,SR001,C027,45,28.39,1277.55,1277.55
TXN00005,2025-07-17,P006,R06,SR006,C079,107,29.37,3142.59,3142.59
TXN00006,2024-12-01,P004,R06,SR018,C050,29,50.91,1476.39,1476.3899999999999
TXN00007,2024-04-25,P003,R03,SR003,C052,48,34.19,1641.12,1641.12
TXN00008,2024-10-22,P005,R02,SR020,C058,72,66.02,4753.44,4753.44
TXN00009,2025-09-06,P001,R03,SR009,C037,95,41.55,3947.25,3947.2499999999995
TXN00010,2024-08-19,P006,R03,SR009,C037,73,29.63,2162.99,2162.99
TXN00011,2024-06-29,P005,R03,SR021,C011,59,71.41,4213.19,4213.19
TXN00012,2024-11-11,P004,R06,SR006,C116,48,49.74,2387.52,2387.52
TXN00013,2025-01-14,P001,R03,SR027,C003,137,39.6,5425.2,5425.2
TXN00014,2024-03-25,P002,R02,SR014,C034,79,51.17,4042.43,4042.4300000000003
TXN00015,2025-05-31,P005,R02,SR026,C090,41,66.71,2735.11,2735.1099999999997
TXN00016,2024-04-22,P002,R06,SR018,C098,109,54.43,5932.87,5932.87
TXN00017,2025-11-07,P004,R01,SR019,C064,83,50.54,4194.82,4194.82
TXN00018,2024-06-01,P007,R06,SR030,C077,79,45.19,3570.01,3570.0099999999998
TXN00019,2025-09-02,P001,R02,SR020,C069,59,40.63,2397.17,2397.17
TXN00020,2024-12-09,P004,R01,SR001,C027,43,47.65,2048.95,2048.95
TXN00021,2024-07-15,P005,R05,SR011,C114,50,68.48,3424.0,3424.0
TXN00022,2025-04-11,P002,R02,SR020,C071,104,55.57,5779.28,5779.28
TXN00023,2025-05-18,P005,R03,SR027,C024,54,65.88,3557.52,3557.5199999999995
TXN00024,2025-10-26,P005,R02,SR026,C105,37,69.76,2581.12,2581.1200000000003
TXN00025,2024-07-08,P002,R06,SR006,C087,98,55.5,5439.0,5439.0
TXN00026,2024-11-23,P008,R04,SR016,C080,92,31.72,2918.24,2918.24
TXN00027,2025-04-20,P006,R04,SR028,C039,104,31.03,3227.12,3227.12
TXN00028,2025-12-05,P005,R02,SR020,C071,56,64.07,3587.92,3587.9199999999996
TXN00029,2024-08-05,P008,R05,SR005,C117,42,33.43,1404.06,1404.06
TXN00030,2024-12-23,P008,R03,SR015,C054,37,30.11,1114.07,1114.07
TXN00031,2025-11-27,P006,R01,SR001,C111,114,29.25,3334.5,3334.5
TXN00032,2025-05-08,P007,R01,SR001,C060,99,42.2,4177.8,4177.8
TXN00033,2025-05-26,P007,R04,SR028,C029,29,42.39,1229.31,1229.31
TXN00034,2024-06-22,P002,R03,SR015,C024,49,56.12,2749.88,2749.8799999999997
TXN00035,2025-05-08,P008,R04,SR010,C046,20,31.84,636.8,636.8
TXN00036,2025-08-13,P006,R03,SR003,,49,28.6,1401.4,1401.4
TXN00037,2024-06-09,P001,R01,SR013,C013,176,38.78,6825.28,6825.280000000001
TXN00038,2024-09-24,P003,R04,SR028,C040,76,33.9,2576.4,2576.4
TXN00039,2024-10-09,P004,R02,SR008,C105,39,49.47,1929.33,1929.33
TXN00040,2025-10-26,P002,R02,SR026,C036,50,55.74,2787.0,2787.0
TXN00041,2024-02-14,P003,R05,SR017,C084,135,33.4,4509.0,4509.0
TXN00042,2025-07-26,P004,R05,SR017,C032,76,48.27,3668.52,3668.5200000000004
TXN00043,2025-07-23,P008,R02,SR014,C033,79,29.4,2322.6,2322.6
TXN00044,2024-01-27,P004,R01,SR025,C055,54,47.23,2550.42,2550.4199999999996
TXN00045,2025-04-09,P002,R01,SR007,C111,130,56.25,7312.5,7312.5
TXN00046,2025-05-25,P007,R01,SR007,C013,109,44.03,4799.27,4799.27
TXN00047,2025-02-06,P002,R05,SR023,C083,58,53.22,3086.76,3086.7599999999998
TXN00048,2024-07-09,P008,R01,SR019,C031,48,32.5,1560.0,1560.0
TXN00049,2024-05-19,P007,R01,SR001,C031,56,39.62,2218.72,2218.72
TXN00050,2024-04-11,P005,R01,SR001,C060,100,70.22,7022.0,7022.0
TXN00051,2025-01-24,P007,R01,SR019,C111,124,41.47,5142.28,5142.28
TXN00052,2025-07-19,P003,R03,SR027,C109,57,34.76,1981.32,1981.32
TXN00053,2024-03-23,P002,R01,SR019,C057,78,51.57,4022.46,4022.46
TXN00054,2024-10-29,P006,R01,SR019,C017,45,30.38,1367.1,1367.1
TXN00055,2024-03-31,P001,R03,SR027,C014,160,40.08,6412.8,6412.799999999999
TXN00056,2024-04-02,P001,R06,SR012,C001,81,38.48,3116.88,3116.8799999999997
TXN00057,2024-05-13,P002,R01,SR007,C055,68,54.76,3723.68,3723.68
TXN00058,2025-03-10,P007,R03,SR003,C014,109,41.37,4509.33,4509.33
TXN00059,2025-01-18,P004,R04,SR010,C065,39,48.65,1897.35,1897.35
TXN00060,2025-06-14,P003,R05,SR011,C081,142,33.52,4759.84,4759.84
TXN00061,2024-04-26,P001,R01,SR019,C031,122,40.45,4934.9,4934.900000000001
TXN00062,2025-12-03,P006,R01,SR007,C055,53,28.88,1530.64,1530.6399999999999
TXN00063,2024-03-05,P004,R05,SR023,C083,45,47.71,2146.95,2146.95
TXN00064,2025-07-26,P002,R05,SR017,C020,115,58.67,6747.05,6747.05
TXN00065,2025-12-23,P003,R04,SR010,C103,69,35.01,2415.69,2415.69
TXN00066,2025-10-10,P008,R02,SR002,C075,121,32.03,3875.63,3875.63
TXN00067,2024-09-22,P005,R01,SR007,C031,54,65.66,3545.64,3545.64
TXN00068,2024-04-29,P007,R01,SR013,C088,59,40.98,2417.82,2417.8199999999997
TXN00069,2024-12-16,P001,R03,SR015,C025,30,40.09,1202.7,1202.7
TXN00070,2024-07-08,P002,R03,SR027,C006,75,54.95,4121.25,4121.25
TXN00071,2025-07-18,P008,R06,SR030,C085,53,33.39,1769.67,1769.67
TXN00072,2025-12-19,P007,R03,SR015,C006,43,42.39,1822.77,1822.77
TXN00073,2024-02-29,P004,R01,SR007,C013,120,46.37,5564.4,5564.4
TXN00074,2025-09-14,P006,R02,SR002,C092,42,27.91,1172.22,1172.22
TXN00075,2025-03-27,P002,R02,SR002,C026,116,57.76,6700.16,6700.16
TXN00076,2024-11-24,P002,R03,SR021,C014,131,54.68,7163.08,7163.08
TXN00077,2024-07-25,P003,R03,SR015,C024,25,34.53,863.25,863.25
TXN00078,2025-01-27,P002,R02,SR026,C108,90,54.83,4934.7,4934.7
TXN00079,2025-10-01,P002,R01,SR001,C017,49,55.56,2722.44,2722.44
TXN00080,2025-11-01,P008,R03,SR021,C011,53,30.07,1593.71,1593.71
TXN00081,2025-09-05,P001,R06,SR006,C087,96,43.14,4141.44,4141.4400000000005
TXN00082,2024-09-06,P002,R05,SR023,C112,97,54.79,5314.63,5314.63
TXN00083,2025-07-05,P001,R06,SR006,C047,69,39.6,2732.4,2732.4
TXN00084,2024-07-24,P008,R04,SR016,C046,21,33.24,698.04,698.0400000000001
TXN00085,2024-08-09,P008,R03,SR021,C006,44,32.82,1444.08,1444.08
TXN00086,2024-12-11,P003,R05,SR017,C008,50,34.72,1736.0,1736.0
TXN00087,2024-11-27,P008,R04,SR016,C023,85,31.88,2709.8,2709.7999999999997
TXN00088,2024-08-09,P004,R03,SR003,C052,62,48.9,3031.8,3031.7999999999997
TXN00089,2024-10-21,P001,R02,SR008,C069,36,39.48,1421.28,1421.28
TXN00090,2024-11-17,P002,R04,SR010,C004,38,51.81,1968.78,1968.7800000000002
TXN00091,2025-07-03,P002,R04,SR010,C023,124,55.65,6900.6,6900.599999999999
TXN00092,2024-04-04,P004,R06,SR024,C044,71,48.99,3478.29,3478.29
TXN00093,2024-02-16,P005,R06,SR012,C076,69,66.67,4600.23,4600.2300000000005
TXN00094,2024-10-19,P002,R06,SR030,C110,66,55.2,3643.2,3643.2000000000003
TXN00095,2025-08-17,P008,R01,SR007,C043,30,32.12,963.6,963.5999999999999
TXN00096,2025-10-29,P002,R02,SR020,C069,62,55.23,3424.26,3424.2599999999998
TXN00097,2024-12-03,P007,R02,SR014,C042,84,42.91,3604.44,3604.4399999999996
TXN00098,2024-06-08,P007,R02,SR014,C097,20,41.32,826.4,826.4
TXN00099,2024-03-25,P001,R06,SR012,C047,67,39.18,2625.06,2625.06
TXN00100,2024-05-20,P001,R06,SR024,C015,184,40.15,7387.6,7387.599999999999
TXN00101,2024-06-12,P001,R01,SR019,C067,195,40.01,7801.95,7801.95
TXN00102,2025-08-31,P008,R04,SR022,C080,79,33.09,2614.11,2614.11
TXN00103,2024-08-22,P001,R03,SR009,C011,69,40.98,2827.62,2827.62
TXN00104,2024-11-06,P003,R05,SR029,C112,45,33.68,1515.6,1515.6
