Sales_Rep_ID,Year,Target_Revenue
SR001,2024,1450000
SR001,2025,1624000
SR002,2024,1250000
SR002,2025,1400000
SR003,2024,1550000
SR003,2025,1736000
SR004,2024,1400000
SR004,2025,1568000
SR005,2024,1000000
SR005,2025,1120000
SR006,2024,1600000
SR006,2025,1792000
SR007,2024,1450000
SR007,2025,1624000
SR008,2024,1500000
SR008,2025,1680000
SR009,2024,1000000
SR009,2025,1120000
SR010,2024,1250000
SR010,2025,1400000
SR011,2024,1200000
SR011,2025,1344000
SR012,2024,1550000
SR012,2025,1736000
SR013,2024,1400000
SR013,2025,1568000
SR014,2024,1500000
SR014,2025,1680000
SR015,2024,1250000
SR015,2025,1400000
SR016,2024,1100000
SR016,2025,1232000
SR017,2024,1300000
SR017,2025,1456000
SR018,2024,950000
SR018,2025,1064000
SR019,2024,1500000
SR019,2025,1680000
SR020,2024,1350000
SR020,2025,1512000
SR021,2024,1450000
SR021,2025,1624000
SR022,2024,1150000
SR022,2025,1288000
SR023,2024,1600000
SR023,2025,1792000
SR024,2024,1550000
SR024,2025,1736000
SR025,2024,1450000
SR025,2025,1624000
SR026,2024,1050000
SR026,2025,1176000
SR027,2024,1250000
SR027,2025,1400000
SR028,2024,950000
SR028,2025,1064000
SR029,2024,1050000
SR029,2025,1176000
SR030,2024,1400000
SR030,2025,1568000
