Transaction_ID,Date,Product_ID,Region_ID,Sales_Rep_ID,Customer_ID,Units_Sold,Unit_Price,Revenue
TXN00001,2024-01-05,P006,R01,SR001,C094,50,28.31,1415.5
TXN00002,2025-03-18,P006,R05,SR029,C115,114,28.93,3298.02
TXN00003,2024-03-24,P005,R03,SR003,C030,80,64.48,5158.4
TXN00004,2025-06-28,P006,R01,SR001,C027,45,28.39,1277.55
TXN00005,2025-07-17,P006,R06,SR006,C079,107,29.37,3142.59
TXN00006,2024-12-01,P004,R06,SR018,C050,29,50.91,1476.39
TXN00007,2024-04-25,P003,R03,SR003,C052,48,34.19,1641.12
TXN00008,2024-10-22,P005,R02,SR020,C058,72,66.02,4753.44
TXN00009,2025-09-06,P001,R03,SR009,C037,95,41.55,3947.25
TXN00010,2024-08-19,P006,R03,SR009,C037,73,29.63,2162.99
TXN00011,2024-06-29,P005,R03,SR021,C011,59,71.41,4213.19
TXN00012,2024-11-11,P004,R06,SR006,C116,48,49.74,2387.52
TXN00013,2025-01-14,P001,R03,SR027,C003,137,39.6,5425.2
TXN00014,2024-03-25,P002,R02,SR014,C034,79,51.17,4042.43
TXN00015,2025-05-31,P005,R02,SR026,C090,41,66.71,2735.11
TXN00016,2024-04-22,P002,R06,SR018,C098,109,54.43,5932.87
TXN00017,2025-11-07,P004,R01,SR019,C064,83,50.54,4194.82
TXN00018,2024-06-01,P007,R06,SR030,C077,79,45.19,3570.01
TXN00019,2025-09-02,P001,R02,SR020,C069,59,40.63,2397.17
TXN00020,2024-12-09,P004,R01,SR001,C027,43,47.65,2048.95
TXN00021,2024-07-15,P005,R05,SR011,C114,50,68.48,3424.0
TXN00022,2025-04-11,P002,R02,SR020,C071,104,55.57,5779.28
TXN00023,2025-05-18,P005,R03,SR027,C024,54,65.88,3557.52
TXN00024,2025-10-26,P005,R02,SR026,C105,37,69.76,2581.12
TXN00025,2024-07-08,P002,R06,SR006,C087,98,55.5,5439.0
TXN00026,2024-11-23,P008,R04,SR016,C080,92,31.72,2918.24
TXN00027,2025-04-20,P006,R04,SR028,C039,104,31.03,3227.12
TXN00028,2025-12-05,P005,R02,SR020,C071,56,64.07,3587.92
TXN00029,2024-08-05,P008,R05,SR005,C117,42,33.43,1404.06
TXN00030,2024-12-23,P008,R03,SR015,C054,37,30.11,1114.07
TXN00031,2025-11-27,P006,R01,SR001,C111,114,29.25,3334.5
TXN00032,2025-05-08,P007,R01,SR001,C060,99,42.2,4177.8
TXN00033,2025-05-26,P007,R04,SR028,C029,29,42.39,1229.31
TXN00034,2024-06-22,P002,R03,SR015,C024,49,56.12,2749.88
TXN00035,2025-05-08,P008,R04,SR010,C046,20,31.84,636.8
TXN00036,2025-08-13,P006,R03,SR003,,49,28.6,1401.4
TXN00037,2024-06-09,P001,R01,SR013,C013,176,38.78,6825.28
TXN00038,2024-09-24,P003,R04,SR028,C040,76,33.9,2576.4
TXN00039,2024-10-09,P004,R99,SR008,C105,39,49.47,1929.33
TXN00040,2025-10-26,P002,R02,SR026,C036,50,55.74,2787.0
TXN00041,2024-02-14,P003,R05,SR017,C084,135,33.4,4509.0
TXN00042,2025-07-26,P004,R05,SR017,C032,76,48.27,3668.52
TXN00043,2025-07-23,P008,R02,SR014,C033,79,29.4,2322.6
TXN00044,2024-01-27,P004,R01,SR025,C055,54,47.23,2550.42
TXN00045,2025-04-09,P002,R01,SR007,C111,130,56.25,7312.5
TXN00046,2025-05-25,P007,R01,SR007,C013,109,44.03,4799.27
TXN00047,2025-02-06,P002,R05,SR023,C083,58,53.22,3086.76
TXN00048,2024-07-09,P008,R01,SR019,C031,48,32.5,1560.0
TXN00049,2024-05-19,P007,R01,SR001,C031,56,39.62,2218.72
TXN00050,2024-04-11,P005,R01,SR001,C060,100,70.22,7022.0
TXN00051,2025-01-24,P007,R01,SR019,C111,124,41.47,5142.28
TXN00052,2025-07-19,P003,R03,SR027,C109,57,34.76,1981.32
TXN00053,2024-03-23,P002,R01,SR019,C057,78,51.57,4022.46
TXN00054,2024-10-29,P006,R01,SR019,C017,45,30.38,1367.1
TXN00055,2024-03-31,P001,R03,SR027,C014,160,40.08,6412.8
TXN00056,2024-04-02,P001,R06,SR012,C001,81,38.48,3116.88
TXN00057,2024-05-13,P002,R01,SR007,C055,68,54.76,3723.68
TXN00058,2025-03-10,P007,R03,SR003,C014,109,41.37,4509.33
